speaker_name,topic
アレクサンドル・マーザ,次世代の寄付者：ブロックチェーンの財源でSDGsを拡大する
ナブジット・ダーリワル,試行から実装へ：Web3エンタープライズ採用の道筋
尹 世羅,プルーラリティ：協働テクノロジーが民主主義をどう変革するか
ヒンザ・アシフ,Web3 サロン ワークショップ
フィリップ　ポン,RWAトークン化：今サイクルか次か？ — 何兆円もの価値を解き放ち、世界にインパクトを
分部 真由美,ソーシャスファンド提案者ピッチ 
神田イツキ,ソーシャスファンド提案者ピッチ 
クリス・ベアード,プロジェクト・カタリスト：より良い社会を築くためのモデル
村崎 俊介,エマーゴのガバナンスワークショップ
アレックス・ペシュチャンカー,インパクト・ユニコーン：真のインパクトを生み出すテックへの投資
シャントヌー・サクセナ,決済から新たな価値創造へ：ステーブルコインの可能性
K ジングルス,ワンクリックでオンチェーンへ：UTXOでビットコインとカルダノをWeb2のような使い心地に
ピーター・マクミラン,AIアート時代のジレンマ：創造の民主化か、アーティストの淘汰か
